ResidentID,AssessmentReferenceDate,FirstName,LastName,DOB,Gender,MaritalStatus,AdmissionDate,DischargeDate,RoomNumber,MedicalRecordNumber,MedicareNumber,MedicaidNumber
1,2023-06-23,Melissa,Brown,1960-09-07,Male,Widowed,2021-04-26,,253,48438,6871473794,9597512160
2,2023-03-28,Alice,Tucker,1936-05-24,Female,Married,2021-05-06,,356,42550,5542061041,4298111426
3,2023-07-03,Robin,Jenkins,1931-12-22,Male,Married,2019-07-28,2020-07-21,466,52711,3247901494,9250797862
4,2023-08-07,Sherry,Howard,1928-09-04,Female,Divorced,2019-06-08,,468,42244,7876119848,6886130118
5,2023-05-29,Justin,Adams,1928-04-18,Female,Single,2022-09-17,,184,13943,3253593013,3529095092
6,2023-08-28,Blake,Wilson,1963-01-16,Male,Divorced,2022-02-20,,123,84690,6306071388,8283455022
7,2023-09-18,Wendy,Copeland,1952-04-17,Male,Divorced,2022-11-03,2023-09-02,367,67677,5967743586,6752287632
8,2024-02-01,Anthony,Watkins,1947-02-15,Male,Single,2022-08-27,,312,90788,4643727408,3114394746
9,2023-09-05,Ross,Richardson,1939-04-09,Male,Single,2020-08-12,,491,36354,4963399280,3954197115
10,2023-03-30,Anna,Hunter,1951-11-03,Female,Married,2023-05-25,,150,40919,5601141161,1792910748
